Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,175.97999572753906,176.8699951171875,175.32000732421875,176.35000610351562,165.12643432617188,726300
2020-01-02,177.4499969482422,179.0399932861328,176.9199981689453,178.42999267578125,167.07403564453125,1472100
2020-01-03,178.0,180.42999267578125,178.0,180.17999267578125,168.71263122558594,1662200
2020-01-06,181.5500030517578,182.97999572753906,181.0,182.08999633789062,170.50108337402344,1957000
2020-01-07,180.4199981689453,181.6300048828125,179.75,180.02000427246094,168.56285095214844,1454600
2020-01-08,180.1999969482422,181.94000244140625,179.60000610351562,180.47999572753906,168.9935760498047,1226400
2020-01-09,181.0,182.91000366210938,180.9600067138672,181.61000061035156,170.05166625976562,1581600
2020-01-10,181.50999450683594,181.7899932861328,179.41000366210938,179.50999450683594,168.08529663085938,831700
2020-01-13,180.24000549316406,182.08999633789062,180.0399932861328,181.1300048828125,169.60220336914062,898000
2020-01-14,181.0,181.52999877929688,179.66000366210938,180.97000122070312,169.45237731933594,917900
2020-01-15,181.07000732421875,182.9600067138672,181.07000732421875,181.61000061035156,170.05166625976562,1174700
2020-01-16,181.52999877929688,183.07000732421875,181.11000061035156,182.39999389648438,171.75601196289062,1289900
2020-01-17,182.77999877929688,183.1199951171875,181.47999572753906,181.88999938964844,171.2758026123047,1820000
2020-01-21,181.4600067138672,184.55999755859375,180.82000732421875,183.2899932861328,172.59408569335938,2074800
2020-01-22,183.86000061035156,185.5800018310547,183.08999633789062,183.10000610351562,172.41519165039062,1058700
2020-01-23,182.8699951171875,185.47000122070312,182.0500030517578,184.6199951171875,173.8464813232422,1146700
2020-01-24,185.22999572753906,185.80999755859375,184.3300018310547,185.07000732421875,174.2702178955078,925500
2020-01-27,182.36000061035156,183.72999572753906,181.58999633789062,182.57000732421875,171.9161376953125,1132300
2020-01-28,183.0800018310547,184.67999267578125,180.75999450683594,183.6300048828125,172.91424560546875,1533900
2020-01-29,183.9199981689453,184.4199981689453,179.61000061035156,183.47000122070312,172.76361083984375,2033200
2020-01-30,182.3000030517578,183.49000549316406,179.72000122070312,181.22999572753906,170.654296875,1842500
2020-01-31,180.24000549316406,180.91000366210938,174.7899932861328,175.44000244140625,165.20220947265625,2365700
2020-02-03,177.16000366210938,178.6199951171875,175.19000244140625,176.6199951171875,166.31332397460938,1605300
2020-02-04,179.24000549316406,180.66000366210938,179.0,179.52999877929688,169.0535125732422,1882500
2020-02-05,181.00999450683594,184.4600067138672,180.0800018310547,183.97000122070312,173.2344207763672,1273300
2020-02-06,185.64999389648438,187.30999755859375,185.1999969482422,186.1300048828125,175.2683563232422,1319600
2020-02-07,185.77999877929688,188.3000030517578,185.58999633789062,186.74000549316406,175.84275817871094,1715400
2020-02-10,186.50999450683594,188.47000122070312,185.33999633789062,186.25,175.38134765625,1239900
2020-02-11,186.92999267578125,188.3800048828125,185.3800048828125,186.94000244140625,176.03111267089844,1599100
2020-02-12,187.36000061035156,188.75,186.44000244140625,188.75,177.7354736328125,1447900
2020-02-13,187.82000732421875,190.0800018310547,187.5800018310547,189.42999267578125,178.3757781982422,1546000
2020-02-14,189.36000061035156,189.39999389648438,186.6199951171875,188.05999755859375,177.0857391357422,1351800
2020-02-18,187.16000366210938,188.72999572753906,186.69000244140625,188.13999938964844,177.16107177734375,1139900
2020-02-19,188.22999572753906,188.69000244140625,186.3300018310547,186.5500030517578,175.6638641357422,1191200
2020-02-20,186.07000732421875,187.35000610351562,184.42999267578125,185.9499969482422,175.098876953125,1247900
2020-02-21,184.91000366210938,187.86000061035156,183.61000061035156,187.60000610351562,176.652587890625,1416900
2020-02-24,183.11000061035156,185.64999389648438,182.0800018310547,184.61000061035156,173.83706665039062,1857900
2020-02-25,184.9499969482422,185.63999938964844,173.27000427246094,173.9199981689453,163.7708740234375,2780100
2020-02-26,175.25,176.83999633789062,171.22000122070312,171.5500030517578,161.53916931152344,2737400
2020-02-27,169.17999267578125,172.69000244140625,165.52999877929688,166.13999938964844,156.44488525390625,2809100
2020-02-28,160.5800018310547,163.69000244140625,155.47000122070312,159.69000244140625,150.37127685546875,3827400
